type	date	text	polarity	subjectivity	username	location	lat long formula	geo	follower count	retweets	favorites
Petsmart	Wed Apr 13 00:04:05 +0000 2016	Meowzer isn't happy about being at the Petsmart in Lawrenceville. She is meowing for you to come and take her... https://t.co/lzNk8pvA0E	-0.4	1	spayneutertoday	ATLANTA GA	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	611	0	0
Pet Food	Fri Apr 08 23:02:43 +0000 2016	"Lobo says ""thank you!!"" to Park Pet Supply for this amazing, huge donation of high quality food!

If you haven't... https://t.co/M0NAQ8po9p"	0.4	0.78	ShelterAngels	Atlanta Georgia 	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	586	0	0
At Chewy	Fri Apr 08 21:26:20 +0000 2016	RT @Chewy: It's Friday and you can win your favorite Halo Treats! RT &amp; Follow for your chance to win! #FreebieFriday #Contest https://t.co/É??	0.808333333	0.6	flyoffthehndle	"Atlanta, Ga"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	6539	544	0
At Chewy	Thu Apr 14 00:02:08 +0000 2016	@HamiltonPug @Chewy @2blackpugz @tucker_pug @Sasha_Pug @barkbox @PugNamedFinn Well done everyone!!????????????	0	0	BodieSpanky	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	89	0	1
At Chewy	Thu Apr 14 00:00:55 +0000 2016	@HamiltonPug @Chewy @barkbox Thanks Ham!!! See you Friday!!!!!!! #pugchat	1	0.2	BodieSpanky	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1071	0	2
At Chewy	Wed Apr 13 23:05:55 +0000 2016	RT @HamiltonPug: Thanks to @chewy for giving away prizes at tonightÉ??s #PugChat https://t.co/k0N5FUGhex	0.2	0.2	BodieSpanky	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	2682	1	0
At Petco	Tue Apr 12 20:48:51 +0000 2016	Join @Petco and @AboutAMom on 4/13 6pm PT as we chat about spring cleaning for your pet! #PetcoParty - RSVP https://t.co/AAknKxqk23	0	0	BarkWorldExpo	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	2682	0	2
At Petco	Wed Apr 13 23:40:29 +0000 2016	"@4jlessad Make sure you follow us , @Petco, and @aboutamom we are leading the party #PetcoParty"	0.5	0.888888889	BarkWorldExpo	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	2682	0	2
At Petsmart	Sat Apr 09 21:43:48 +0000 2016	@utkaye @PetSmart yes we think abt 2 weeks old. Mother passed away last night	0.05	0.133333333	tarainga	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	2682	544	0
At Petsmart	Sat Apr 09 21:07:44 +0000 2016	"On my way to @PetSmart for a new cage for my dog , then off to @Starbucks !!"	0.213068182	0.454545455	StrapIess	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	969	544	0
At Petsmart	Sat Apr 09 20:47:54 +0000 2016	"Shout out to @PetSmart in Conyers,GA for stepping up and donating supplies so we could save this 2wk old kitten. https://t.co/cTxecGg2MT"	0.1	0.2	tarainga	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	262	544	0
Healthy Dog Food	Sat Apr 09 16:46:48 +0000 2016	I was trying to be extra healthy and go hiking two days in a row but my dog threw up on me so i went home and ate chinese food	0.166666667	0.2	genericdweeb	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	4634	544	0
Dog Park	Fri Apr 08 15:02:01 +0000 2016	"Watch these puppies play in the park, and suddenly, everything is better: https://t.co/luuriYr1xm #FridayFeeling https://t.co/yejK0ngDos"	0.25	0.5	HLNTV	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	374	544	0
Dog Park	Tue Apr 12 23:08:47 +0000 2016	"Board and Train, Brady, Wheaten, Day 11: Off Leash Recall, Sit, Wait at Dog Park https://t.co/WaLRIClfpz"	0	0	SitUpNListen	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	441	544	0
Dog Treats	Sat Apr 16 20:22:03 +0000 2016	Sweet Treats for Dog Lovers #FlatoutLove AD?ˇ https://t.co/8SndXMVbcZ via @ABRecipes	0.35	0.65	NestFullofNew	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	138	544	0
Hollywood Feed	Sat Apr 16 16:59:33 +0000 2016	"RT @streetdogfdn: Adoption Event at Hollywood Feed Erin Way meet Etta, Red Roger, Marco &amp; Roxie all #sdfAdoptable https://t.co/TuDlOFtozq"	0	0	celticbarkerjr	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	2762	544	0
Natural Balance	Wed Apr 13 07:16:19 +0000 2016	RT @BlackBecky_: But women have to start respecting men and the natural balance of life as well. https://t.co/d7HGadP5wI	0.1	0.4	TrizzeTrell	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	42	544	0
Petco	Wed Apr 13 23:40:29 +0000 2016	"@4jlessad Make sure you follow us , @Petco, and @aboutamom we are leading the party #PetcoParty"	0.5	0.888888889	BarkWorldExpo	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	304	418	0
Pet Food	Mon Apr 11 23:57:57 +0000 2016	RT @iPraize: My biggest pet peeves is someone burping loud af at the table while others still have sections of food to consume ???≠	0.1	0.8	_mrfkey	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1874	418	0
Petsmart	Sat Apr 16 00:26:23 +0000 2016	Courtney Stodden Protests PetSmart For PETA É?? Photos - PETA once again enlisted reality star Courtney Stodden t... https://t.co/iz3jds2BqQ	0	0	THEATLPLUGMAG	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1108	544	0
Puppy Image	Sat Apr 09 00:08:02 +0000 2016	RT @biebshim: HE IS JUST A LITTLE PUPPY STOP HATING HIM https://t.co/48WIUVinNP	-0.1875	0.5	makxylaa	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	780	544	0
Puppy Image	Sat Apr 09 23:40:26 +0000 2016	Puppy Ready For His New Home/ Lab Éù?Éù? https://t.co/CFtQ9rCviJ Éù?Éù? #DogFinder #AdoptADog https://t.co/cNtz224uSB	0.168181818	0.477272727	AtlantaPuppies	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	92	544	0
Puppy Image	Thu Apr 14 00:20:49 +0000 2016	no makeup+puppy filter=happy caitlin https://t.co/FntY81Hj4P	0	0	rulesofhowell	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1552	0	1
Rescue Dog	Thu Apr 07 03:03:37 +0000 2016	A big rescue mission for a tiny dog É?? and now the local shelter is trying to help it find its owner. https://t.co/u6Eb9VTXcw	0	0.2	weatherchannel	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1552	544	0
Rescue Dog	Fri Apr 08 23:21:54 +0000 2016	A rescue dog can bring such joy to your life. #rescuedogs https://t.co/zAby1JUA2c	0.4	0.35	DariusDogs1	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	841	544	0
Rescue Dog	Sat Apr 09 23:28:54 +0000 2016	RT @LGAnimalRescue: Detroit children rescue abandoned dog tethered with bungee cords https://t.co/jIJxdOugCT https://t.co/vfwxPiejnX	0	0	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1961	544	0
Rescue Dog	Sat Apr 09 23:28:45 +0000 2016	"RT @HuffingtonPost: Rescue dog helps save scrappy kittens' sight, gains two new BFFs https://t.co/GdQ5pbeD9r https://t.co/docmADMvCn"	0.136363636	0.454545455	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	49	544	0
Rescue Dog	Sat Apr 09 23:27:41 +0000 2016	"RT @im461: Firefighter rescue this dog from burning house???ç
He give his jacket to dog for sitting &amp; now giving him oxygenÉ?ß
???è???è???è???è???è https://t.cÉ??"	0	0	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1393	544	0
Rescue Dog	Sat Apr 09 23:27:11 +0000 2016	RT @CrazyinRussia: Good guys Russian sailors rescue a dog stuck on an ice sheet. #heroes https://t.co/R7eLLxwaZV	0.35	0.3	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	488	544	0
Rescue Dog	Sat Apr 09 23:26:58 +0000 2016	RT @doggeek: This Quiz Will Tell You What Type Of Dog You Should Adopt https://t.co/ERplDClVxW Adopt from a Rescue Near You https://t.co/oTÉ??	0.1	0.4	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	1970	544	0
Rescue Dog	Sat Apr 09 23:26:49 +0000 2016	RT @HuffingtonPost: This baby and his rescue dog BFF put your cuddle skills to shame https://t.co/7RKw5KCCTh	0	0	LittleNuggetsGA	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	507	544	0
Rescue Dog	Tue Apr 12 00:01:00 +0000 2016	Rescue dog donates blood to save kittens' eyesight: https://t.co/2rYSyGUJqd https://t.co/K5mHFzZb3Y	0	0	MorningExp	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	117	544	0
Rescue Dog	Sat Apr 16 00:28:27 +0000 2016	RT @ASPCA: ICYMI: 64 #dogs have been rescued from #dogfighting in #Illinois &amp; #Iowa. Full story: https://t.co/AM77G4KaEF https://t.co/JxBBFÉ??	0.35	0.55	DariusDogs1	"Atlanta, GA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	532	544	0
Acana	Fri Apr 15 14:41:35 +0000 2016	NEW ACANA USA IN THE HOUSE!! https://t.co/fFTYcIpfBS	0.213068182	0.454545455	highlandpet	"Atlanta, GA "	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	80	0	0
Rescue Dog	Sat Apr 09 23:17:18 +0000 2016	@Squidrow_ And every rescue dog I've ever been around has a GREAT temperament. So even keel.	0.8	0.75	ATYPIKALent	"Atlanta, GA."	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	773	0	2
At Chewy	Tue Apr 12 13:12:31 +0000 2016	@Chewy #TongueOutTuesday https://t.co/aXod2ZKJzw	0	0	GlenBrangers	"Atlanta, Georgia"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	773	1	0
At Petco	Fri Apr 08 23:57:12 +0000 2016	RT @angelsrescue: Happening TOMORROW @Petco! #Saturday #Caturday @AngelsRescueCat #Adoptions #Rescue https://t.co/IAKFYzM35P https://t.co/CÉ??	0	0	AtlantaXPLRR	"Atlanta, Georgia"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	27	0	1
Dog Park	Fri Apr 08 01:04:47 +0000 2016	"RT @willmenaker: If any of you are in Brooklyn, and especially Ditmas Park, please help my friends find their lost dog. #FindDottie 

httpsÉ??"	0	1	theangrymick	"Atlanta, Georgia"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	773	0	2
Petco	Fri Apr 08 23:57:12 +0000 2016	RT @angelsrescue: Happening TOMORROW @Petco! #Saturday #Caturday @AngelsRescueCat #Adoptions #Rescue https://t.co/IAKFYzM35P https://t.co/CÉ??	0	0	AtlantaXPLRR	"Atlanta, Georgia"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	773	1	0
Blue Buffalo	Wed Apr 13 06:59:03 +0000 2016	RT @soulbabynovel: Working as the Blue Buffalo at the New York Dog Training and Parade in Union Square.  #bluebuffalo #aspca #dogs https://É??	-0.037878788	0.262626263	My_Mom_MadeThat	"Atlanta, Georgia, USA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	295	0	5
Blue Buffalo	Wed Apr 13 06:59:03 +0000 2016	RT @soulbabynovel: Working as the Blue Buffalo at the New York Dog Training and Parade in Union Square.  #bluebuffalo #aspca #dogs https://É??	-0.037878788	0.262626263	My_Mom_MadeThat	"Atlanta, Georgia, USA"	"33.7490987, -84.3901848"	"33.7490987, -84.3901848"	253	0	1
Dog Treats	Mon Apr 11 22:46:46 +0000 2016	"RT @WeAreGirICodes: ""I put dog treats in easter eggs and then my dog went on an easter egg hunt"" ???ç https://t.co/nEbJDzI4xJ"	0	0	reighhhhh	"Orange, CA"	"33.7500378, -117.870493"	"33.7500378, -117.870493"	181	2	0
Puppy Image	Sat Apr 09 23:45:49 +0000 2016	Maltipoo Mix Puppy 2 Months Old Éù?Éù? https://t.co/GLmNf1Fhtm Éù?Éù? #DogFinder #AdoptADog https://t.co/jkRaSBNrfp	0.1	0.2	OCPuppies	"Orange, CA"	"33.7500378, -117.870493"	"33.7500378, -117.870493"	1588	0	1
Rescue Dog	Fri Apr 08 02:15:08 +0000 2016	RT @shelterpets: Dog Meets World: See How This Animal Rescue Became an Instagram Star https://t.co/jPPv1OzrXc #StartAStoryAdopt #ToastMeetsÉ??	0	0	CocoCGld	"Rancho Mirage, CA"	"33.763346, -116.4228595"	"33.763346, -116.4228595"	4839516	948	2843
Dog Park	Fri Apr 08 23:51:48 +0000 2016	"One week from tomorrow: our 50th Celebration at O4W Park, 3p-7p. Don't miss Greater Atl Dog &amp; Disc Club's two shows! https://t.co/YRo7YwWwnb"	0.625	0.5	pawsatlanta	"Decatur, Georgia"	"33.7737582, -84.2960689"	"33.7737582, -84.2960689"	862	67	0
Pet Food	Fri Apr 08 03:02:38 +0000 2016	@MannyxBerner pet smart getting my bird food lol	0.507142857	0.671428571	JH97America	"Garden Grove, CA"	"33.7746292, -117.9463716"	"33.7746292, -117.9463716"	1385	33	0
At Petsmart	Wed Apr 13 22:26:47 +0000 2016	RT @JeffMauro: Thank you everyone for stopping by @PetSmart for my new puppy owners event w/ @Bounty! #QuickerPickerUpper #ad https://t.co/É??	0.170454545	0.454545455	mzsazzygirl	Long Beach CA	"33.7774658, -118.188487"	"33.7774658, -118.188487"	23	15	0
At Petsmart	Sat Apr 16 20:33:11 +0000 2016	".@PetSmart, my Mommy is having a RUFF time logging into your website to book  grooming appointment. Give your coders treats, they'll fix it!"	0	0	IamSPARKYTUS	"Long Beach, CA"	"33.7774658, -118.188487"	"33.7774658, -118.188487"	227	0	0
Dog Park	Wed Apr 13 23:45:01 +0000 2016	"RT @NoHoesGeorge: TO ALL GIRLS THAT USE THE DOG FILTER ON SNAPCHAT :
https://t.co/gpy5FEeirw"	0	0	sunnyhu_park	"Long Beach, CA"	"33.7774658, -118.188487"	"33.7774658, -118.188487"	2323	12	0
Petsmart	Sat Apr 16 20:33:11 +0000 2016	".@PetSmart, my Mommy is having a RUFF time logging into your website to book  grooming appointment. Give your coders treats, they'll fix it!"	0	0	IamSPARKYTUS	"Long Beach, CA"	"33.7774658, -118.188487"	"33.7774658, -118.188487"	487	0	0
The Honest Kitchen	Sat Apr 02 16:42:26 +0000 2016	"What's for breakfast?
1 can sardines
1 boiled egg
1/2 cup honest kitchen base mix
1/4 teaspoonÉ?? https://t.co/i0bnDxpgYm"	-0.1	0.95	theRobertCabral	"Malibu, CA"	"33.7932142, -116.5023561"	"33.7932142, -116.5023561"	341	0	0
Dog Food	Sat Apr 16 21:43:35 +0000 2016	Ayesha is serving the best shooter in NBA history dog food.	1	0.3	ReverendDrDash	"Clarkston, GA"	"33.8095487, -84.2396433"	"33.8095487, -84.2396433"	242	6	0
At Chewy	Sat Apr 09 17:29:30 +0000 2016	RT @Chewy: #didyouknow domestic cats spend about 70% of the day sleeping? And 15% grooming? #whoknew #caturday #catfacts https://t.co/sFKoEÉ??	0	0.1	petsitgirls	"Mableton,  GA"	"33.811344, -84.5669805134124"	"33.811344, -84.5669805134124"	3187	1	0
At Chewy	Sat Apr 09 17:29:30 +0000 2016	RT @Chewy: #didyouknow domestic cats spend about 70% of the day sleeping? And 15% grooming? #whoknew #caturday #catfacts https://t.co/sFKoEÉ??	0	0.1	petsitgirls	"Mableton,  GA"	"33.811344, -84.5669805134124"	"33.811344, -84.5669805134124"	2329	17711	0
At Chewy	Sun Apr 10 17:19:40 +0000 2016	RT @Chewy: It's Friday and you can win your favorite Halo Treats! RT &amp; Follow for your chance to win! #FreebieFriday #Contest https://t.co/É??	0.808333333	0.6	BAMABOSS1984	"The Circle City, AL"	"33.8149433, -112.5815175"	"33.8149433, -112.5815175"	79	0	0
At Chewy	Sun Apr 10 17:19:40 +0000 2016	RT @Chewy: It's Friday and you can win your favorite Halo Treats! RT &amp; Follow for your chance to win! #FreebieFriday #Contest https://t.co/É??	0.808333333	0.6	BAMABOSS1984	"The Circle City, AL"	"33.8149433, -112.5815175"	"33.8149433, -112.5815175"	890	27	0
At Petco	Fri Apr 15 23:14:11 +0000 2016	"I'm at @Petco in Buena Park, CA https://t.co/A6CsnbwPhX"	0	0	wgerickson66	"Cypress, Ca"	"33.8248235, -118.0399367"	"33.8248235, -118.0399367"	309	104	0
Petco	Fri Apr 15 23:14:11 +0000 2016	"I'm at @Petco in Buena Park, CA https://t.co/A6CsnbwPhX"	0	0	wgerickson66	"Cypress, Ca"	"33.8248235, -118.0399367"	"33.8248235, -118.0399367"	273	0	0
At Chewy	Sat Apr 16 04:25:29 +0000 2016	RT @Chewy: Smile! RT &amp; Follow for a chance to win a Fancy Feast Variety Pack! #WhiskerWednesday#Giveaway #Contest https://t.co/BXKdTzDbSN	0.6875	0.25	redk3tchup	"Anaheim, CA"	"33.8347516, -117.9117319"	"33.8347516, -117.9117319"	519	0	0
Petco	Sat Apr 16 21:33:45 +0000 2016	Adoption day at Petco! So cute doggy woggies!: https://t.co/5fRUMDoslD via @YouTube	0.625	1	jd_cesark	"torrance, ca"	"33.8358492, -118.3406287"	"33.8358492, -118.3406287"	26	0	0
Petco	Sat Apr 16 21:31:27 +0000 2016	Fishy wishies! At Petco. Soooo cute!: https://t.co/PQA2aGemJ7 via @YouTube	0.625	1	jd_cesark	"torrance, ca"	"33.8358492, -118.3406287"	"33.8358492, -118.3406287"	142	328	0
Petco	Sat Apr 16 21:27:40 +0000 2016	Cats at Petco: https://t.co/VwseDmZT86 via @YouTube	0	0	jd_cesark	"torrance, ca"	"33.8358492, -118.3406287"	"33.8358492, -118.3406287"	9033	0	7
Petco	Sat Apr 16 21:26:19 +0000 2016	Birds at Petco: https://t.co/tiyNaCcNX9 via @YouTube	0	0	jd_cesark	"torrance, ca"	"33.8358492, -118.3406287"	"33.8358492, -118.3406287"	83	0	0
Holistic Select	Fri Apr 08 21:03:45 +0000 2016	My dog food made their list of 10 best!   I eat Eagle Pack's Holistic Select because I deserve the best!   RRR!... https://t.co/xtZ8wVvnlZ	1	0.3	ChristmasHusky1	"Loganville, GA USA"	"33.8389977, -83.9007381"	"33.8389977, -83.9007381"	180	0	0
Holistic Select	Fri Apr 08 21:03:45 +0000 2016	My dog food made their list of 10 best!   I eat Eagle Pack's Holistic Select because I deserve the best!   RRR!... https://t.co/xtZ8wVvnlZ	1	0.3	ChristmasHusky1	"Loganville, GA USA"	"33.8389977, -83.9007381"	"33.8389977, -83.9007381"	2042	1	0
Holistic Select	Fri Apr 08 21:03:45 +0000 2016	My dog food made their list of 10 best!   I eat Eagle Pack's Holistic Select because I deserve the best!   RRR!... https://t.co/xtZ8wVvnlZ	1	0.3	ChristmasHusky1	"Loganville, GA USA"	"33.8389977, -83.9007381"	"33.8389977, -83.9007381"	185	0	0
Holistic Select	Fri Apr 08 21:03:45 +0000 2016	My dog food made their list of 10 best!   I eat Eagle Pack's Holistic Select because I deserve the best!   RRR!... https://t.co/xtZ8wVvnlZ	1	0.3	ChristmasHusky1	"Loganville, GA USA"	"33.8389977, -83.9007381"	"33.8389977, -83.9007381"	185	0	0
At Petsmart	Wed Apr 13 19:21:29 +0000 2016	@animalloversusa @AnimalPlanet @PetSmart @ASPCA we can help our pets through #PetDivorceCourt #animals #HelpAnimals https://t.co/qpB6gT6apG	0	0	HammadHZaidi	"Redondo Beach, CA"	"33.8455911, -118.3886765"	"33.8455911, -118.3886765"	739	45	0
Petsmart	Sat Apr 16 20:16:13 +0000 2016	"Come down and meet Cassonova! He is waiting to be adopted Éù?ã?èÉù?ã?èÉù?ã?è PetSmart  2730 Pacific Coast Hwy, Torrance til 4pm https://t.co/ue2aoegumH"	-0.194444444	0.288888889	Bulliesnbuddies	"Redondo Beach, CA"	"33.8455911, -118.3886765"	"33.8455911, -118.3886765"	4829	3045	0
Rescue Dog	Sat Apr 16 00:35:25 +0000 2016	@carolckm @pearlandaggie @eelayn Yeah...my parents are looking for another dog but they're looking for a lab from lab rescue....	0	0	LTL_ARTICHOKE1	"Redondo Beach, CA"	"33.8455911, -118.3886765"	"33.8455911, -118.3886765"	106	1	0
Blue Buffalo	Mon Apr 11 21:14:07 +0000 2016	RT @soulbabynovel: Working as the Blue Buffalo at the New York Dog Training and Parade in Union Square.  #bluebuffalo #aspca #dogs https://É??	-0.037878788	0.262626263	StarvisAU	"Sydney, Australia"	"-33.8548156, 151.2164539"	"-33.8548156, 151.2164539"	1861	437	0
Blue Buffalo	Mon Apr 11 21:14:07 +0000 2016	RT @soulbabynovel: Working as the Blue Buffalo at the New York Dog Training and Parade in Union Square.  #bluebuffalo #aspca #dogs https://É??	-0.037878788	0.262626263	StarvisAU	"Sydney, Australia"	"-33.8548156, 151.2164539"	"-33.8548156, 151.2164539"	13945	2	1
Dog Food	Tue Apr 12 00:27:50 +0000 2016	"Brewers into battle at The Dog, Randwick https://t.co/VC6fGphzwT"	0	0	SydneyTaste	"Sydney, Australia"	"-33.8548156, 151.2164539"	"-33.8548156, 151.2164539"	287	0	0
Dog Image	Wed Apr 13 00:13:21 +0000 2016	@_erincook_ @itsthom ???è https://t.co/99WFRsQOmk	0	0	Dog_Loaf	"Sydney, Australia"	"-33.8548156, 151.2164539"	"-33.8548156, 151.2164539"	1440	1	0
Pet Food	Wed Apr 13 21:46:22 +0000 2016	@slsandpet @PeterBrukner @ConversationEDU also amazed a whole aisle devoted to pet food/products but I have to search for lentils or pasta	0.2	0.4	SElizaP	"Sydney, Australia"	"-33.8548156, 151.2164539"	"-33.8548156, 151.2164539"	321	0	0
At Petsmart	Sat Apr 09 21:34:02 +0000 2016	"Different @PetSmart today, same shithead employees. Bunch of unfriendly know-nothings #customerexperience"	0	0.3625	PetSouthLLC	"Snellville, GA"	"33.857328, -84.0199107"	"33.857328, -84.0199107"	4242	4	0
At Petsmart	Sat Apr 09 21:32:00 +0000 2016	@PetSmart managers apparantly think its funny that their employees are unable to count and screw up orders #customerexperience	-0.125	0.75	PetSouthLLC	"Snellville, GA"	"33.857328, -84.0199107"	"33.857328, -84.0199107"	67	0	0
Healthy Dog Food	Sat Apr 09 02:07:39 +0000 2016	RT @dogtraininglady: Pumpkin seeds contain an amino acid called cucurbitin. Cucurbitin acts as a natural de-wormer https://t.co/R909RE7Cjt	0.1	0.4	PetSouthLLC	"Snellville, GA"	"33.857328, -84.0199107"	"33.857328, -84.0199107"	89	0	0
Natural Dog Food	Sat Apr 09 02:07:39 +0000 2016	RT @dogtraininglady: Pumpkin seeds contain an amino acid called cucurbitin. Cucurbitin acts as a natural de-wormer https://t.co/R909RE7Cjt	0.1	0.4	PetSouthLLC	"Snellville, GA"	"33.857328, -84.0199107"	"33.857328, -84.0199107"	281	19	0
Natural Dog Food	Sat Apr 09 02:07:39 +0000 2016	RT @dogtraininglady: Pumpkin seeds contain an amino acid called cucurbitin. Cucurbitin acts as a natural de-wormer https://t.co/R909RE7Cjt	0.1	0.4	PetSouthLLC	"Snellville, GA"	"33.857328, -84.0199107"	"33.857328, -84.0199107"	81	0	0
Natural Balance	Sat Apr 16 18:40:03 +0000 2016	"And as if (? É?? re: this É??FÉ??ed humanity) wasnÉ??t enough, É??The Natural BalanceÉ?? being (&amp; has been OFF), immediately... https://t.co/zaRaiZwsRo"	0.05	0.45	Jeff_Morris	"Hermosa Beach, CA"	"33.86428, -118.3959099"	"33.86428, -118.3959099"	34167	7	0
At Chewy	Fri Apr 08 20:28:08 +0000 2016	RT @Chewy: It's Friday and you can win your favorite Halo Treats! RT &amp; Follow for your chance to win! #FreebieFriday #Contest https://t.co/É??	0.808333333	0.6	Jessica_edw88	"Fullerton, CA"	"33.8708215, -117.9294164"	"33.8708215, -117.9294164"	502	2	4
Blue Buffalo	Tue Apr 12 01:32:09 +0000 2016	Blue Buffalo Life Protection Dry Puppy Food https://t.co/IJEdEdusWe #dogspointofview https://t.co/9fIcVwyarB	-0.033333333	0.35	dogpointofview	"Fullerton, CA"	"33.8708215, -117.9294164"	"33.8708215, -117.9294164"	941	3	0
Blue Buffalo	Tue Apr 12 01:32:09 +0000 2016	Blue Buffalo Life Protection Dry Puppy Food https://t.co/IJEdEdusWe #dogspointofview https://t.co/9fIcVwyarB	-0.033333333	0.35	dogpointofview	"Fullerton, CA"	"33.8708215, -117.9294164"	"33.8708215, -117.9294164"	174	0	1
Dog Park	Thu Apr 14 00:08:16 +0000 2016	I imagine talking with others about their dogs @ the dog park is just like parents talking about their kids #mydogisfastest	0	0	LindbergJordan	"Fullerton, CA"	"33.8708215, -117.9294164"	"33.8708215, -117.9294164"	1280	6	0
Natural Balance	Sat Apr 16 20:50:07 +0000 2016	Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato ChickenÉ?? https://t.co/O9yhcsT8Op #dogspointofview https://t.co/3oNvGIPXX2	0.126190476	0.397619048	dogpointofview	"Fullerton, CA"	"33.8708215, -117.9294164"	"33.8708215, -117.9294164"	210	0	0
Dog Park	Sat Apr 16 21:42:10 +0000 2016	This bitch is in heels at the dog park..	0	0	acorris_	"Placentia, CA"	"33.8714814, -117.8617336"	"33.8714814, -117.8617336"	62	2051	0
Fromm	Sun Apr 10 23:40:11 +0000 2016	RT @ALEXIAISRATCHET: WHERE R THOSE FROMM  https://t.co/nW2CFQXsYB	0	0	mshea16_	"Eastover, SC"	"33.8771147, -80.6922593"	"33.8771147, -80.6922593"	77	3	0
Natural Balance	Fri Apr 15 20:35:22 +0000 2016	RT @nakd: We're giving away tickets to @BeFitLondon! Simply RT this post for your chance to #win t&amp;cs: https://t.co/rAfyeUmEPn https://t.coÉ??	0.4	0.378571429	Kevinweist1	"Bellflower, CA"	"33.8825705, -118.1167678"	"33.8825705, -118.1167678"	839	4	0
Natural Balance	Fri Apr 15 20:35:22 +0000 2016	RT @nakd: We're giving away tickets to @BeFitLondon! Simply RT this post for your chance to #win t&amp;cs: https://t.co/rAfyeUmEPn https://t.coÉ??	0.4	0.378571429	Kevinweist1	"Bellflower, CA"	"33.8825705, -118.1167678"	"33.8825705, -118.1167678"	320	281	0
At Petsmart	Fri Apr 15 23:19:31 +0000 2016	Tired but wanna take my rugrat to @PetSmart when I get home	-0.4	0.7	Krissy90220	"Compton, CA"	"33.8948824, -118.2260433"	"33.8948824, -118.2260433"	556	3	0
Petsmart	Fri Apr 15 23:19:31 +0000 2016	Tired but wanna take my rugrat to @PetSmart when I get home	-0.4	0.7	Krissy90220	"Compton, CA"	"33.8948824, -118.2260433"	"33.8948824, -118.2260433"	96552	0	0
Rescue Dog	Sat Apr 09 23:30:19 +0000 2016	RT @smittie61984: My new puppy! Rescue dog! She's terrified of people &amp; needs some work. She's sweet. Can't wait until she's 100% https://tÉ??	0.281534091	0.552272727	KurtSchlichter	Manhattan Beach CA	"33.8950839, -118.4000146"	"33.8950839, -118.4000146"	397	653439	0
